concept,phrase,explicit,source_title,source_url,justification
Martian Northern Summer,aphelion season,False,Interannual variability in TES atmospheric observations of Mars during 1999-2003,https://ui.adsabs.harvard.edu/abs/2004Icar..167..148S/abstract,"The aphelion season is defined in the text as Ls=0°-180°, which encompasses the northern summer period (Ls=90°-180°) and is used as a seasonal term overlapping with the Martian northern summer concept."
Martian Dust Storm Season,perihelion season,False,Interannual variability in TES atmospheric observations of Mars during 1999-2003,https://ui.adsabs.harvard.edu/abs/2004Icar..167..148S/abstract,"The text describes the perihelion season as spanning Ls=180°-360°, warm and dusty with high interannual variability in dust optical depth, matching the definition of the Martian Dust Storm Season."
Mars Year,Martian year (MY),True,Martian Year 34 Column Dust Climatology from Mars Climate Sounder Observations: Reconstructed Maps and Model Simulations,https://ui.adsabs.harvard.edu/abs/2020JGRE..12506111M/abstract,"The paper explicitly equates 'Martian year' with the abbreviation 'MY', directly defining the Mars Year numbering system used throughout."
Mars Year,MY 25,False,Martian Year 34 Column Dust Climatology from Mars Climate Sounder Observations: Reconstructed Maps and Model Simulations,https://ui.adsabs.harvard.edu/abs/2020JGRE..12506111M/abstract,"The paper references MY 25 in passing as another specific Mars Year, using the same numbering system as MY 34."
Mars Year,planet-encircling dust storm,False,Mars Science Laboratory Observations of the 2018/Mars Year 34 Global Dust Storm,https://ui.adsabs.harvard.edu/abs/2019GeoRL..46...71G/abstract,"Used as an alternative descriptor for the MY34 global dust storm event, referring to the same 2018 storm concept."
Mars Year,global dust storm,False,Mars Science Laboratory Observations of the 2018/Mars Year 34 Global Dust Storm,https://ui.adsabs.harvard.edu/abs/2019GeoRL..46...71G/abstract,Used in passing to refer to the same MY34 storm event being discussed throughout the excerpt.
Mars Year,perihelion season of Mars year 34,False,Strong Variability of Martian Water Ice Clouds During Dust Storms Revealed From ExoMars Trace Gas Orbiter/NOMAD,https://ui.adsabs.harvard.edu/abs/2020JGRE..12506250L/abstract,"This phrase uses the Mars Year concept to define a specific observing period, referencing MY34 in a longer descriptive context not captured by existing aliases."
Valles Marineris,Mariner Valleys,False,Coordinates and names of surface details on Mars,https://ui.adsabs.harvard.edu/abs/2023stpp.conf..217V/abstract,"The text refers to 'the giant Mariner Valleys' named after the Mariner-9 spacecraft, which is the same canyon system known as Valles Marineris."
Tharsis Plateau,Tharsis volcanic constructs,False,Polar wandering of Mars,https://ui.adsabs.harvard.edu/abs/1988Icar...73...91S/abstract,Refers collectively to the volcanic structures forming the Tharsis Plateau region on Mars.
Tharsis Plateau,Tharsis volcanism,False,Polar wandering of Mars,https://ui.adsabs.harvard.edu/abs/1988Icar...73...91S/abstract,"Refers to the volcanic activity associated with the Tharsis Plateau, used as a temporal marker in the text."
Mars Polar Regions,Planum Australe,False,Radar evidence of subglacial liquid water on Mars,https://ui.adsabs.harvard.edu/abs/2018Sci...361..490O/abstract,"Planum Australe is the formal name for the south polar plateau of Mars, directly referring to the Martian south polar region."
Mars Polar Regions,martian polar caps,False,Radar evidence of subglacial liquid water on Mars,https://ui.adsabs.harvard.edu/abs/2018Sci...361..490O/abstract,"This phrase refers to the polar ice caps of Mars, directly corresponding to the Mars Polar Regions concept."
Mars Polar Regions,shallow ice deposits,False,SHARAD sounding radar on the Mars Reconnaissance Orbiter,https://ui.adsabs.harvard.edu/abs/2007JGRE..112.5S05S/abstract,"Refers to near-surface ice accumulations on Mars that are associated with polar and high-latitude regions, distinct from but related to polar ice caps and layered deposits."
Mars Polar Regions,polar regions,False,The High Resolution Imaging Science Experiment (HiRISE) during MRO’s Primary Science Phase (PSP),https://ui.adsabs.harvard.edu/abs/2010Icar..205....2M/abstract,"Refers directly to the polar regions of Mars in the context of dynamic seasonal processes, matching the concept of Mars Polar Regions."
Mars Polar Regions,polar and non-polar deposits,False,The High Resolution Imaging Science Experiment (HiRISE) during MRO’s Primary Science Phase (PSP),https://ui.adsabs.harvard.edu/abs/2010Icar..205....2M/abstract,"The 'polar deposits' portion of this phrase refers to layered deposits in the Mars polar regions, a key feature of the concept."
Mars Polar Regions,residual ice caps,False,The Polar Deposits of Mars,https://ui.adsabs.harvard.edu/abs/2009AREPS..37..535B/abstract,"Refers to the persistent ice features at the Martian poles, a component of the polar regions concept distinct from but related to 'polar ice cap' already listed."
Mars Polar Regions,northern high latitudes,False,The Polar Deposits of Mars,https://ui.adsabs.harvard.edu/abs/2009AREPS..37..535B/abstract,"Used to describe the location of the Phoenix landing site, referring to the north polar region of Mars (latitudes above 60N)."
